"filename", "language", "Python", "Properties", "XML", "Ini", "YAML", "pip requirements", "Markdown", "Log", "JavaScript", "Batch", "HTML", "comment", "blank", "total"
"c:\JoystickGremlin-develop\gfx\profile_save.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\profile_save_as.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\warning.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\gremlin\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 7, 51
"c:\JoystickGremlin-develop\gremlin\actions.py", "Python", 487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 165, 692
"c:\JoystickGremlin-develop\gremlin\base_buttons.py", "Python", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37, 183
"c:\JoystickGremlin-develop\gremlin\base_classes.py", "Python", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 111, 387
"c:\JoystickGremlin-develop\gremlin\base_conditions.py", "Python", 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 164, 683
"c:\JoystickGremlin-develop\gremlin\base_profile.py", "Python", 2830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 771, 3803
"c:\JoystickGremlin-develop\gremlin\cheatsheet.py", "Python", 423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 125, 593
"c:\JoystickGremlin-develop\gremlin\clipboard.py", "Python", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 54, 249
"c:\JoystickGremlin-develop\gremlin\code_runner.py", "Python", 410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 170, 673
"c:\JoystickGremlin-develop\gremlin\common.py", "Python", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 30, 161
"c:\JoystickGremlin-develop\gremlin\config.py", "Python", 1420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 421, 1907
"c:\JoystickGremlin-develop\gremlin\control_action.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 29, 99
