"filename", "language", "YAML", "Batch", "Python", "Markdown", "XML", "pip requirements", "HTML", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"c:\JoystickGremlin-develop\gremlin\hid.py", "Python", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 18, 17, 120
"c:\JoystickGremlin-develop\gremlin\hid_guardian.py", "Python", 0, 0, -52, 0, 0, 0, 0, 0, 0, 0, 65, -13, 0
"c:\JoystickGremlin-develop\gremlin\hints.py", "Python", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
"c:\JoystickGremlin-develop\gremlin\import_profile.py", "Python", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 20, 20, 39
"c:\JoystickGremlin-develop\gremlin\input_devices.py", "Python", 0, 0, -1071, 0, 0, 0, 0, 0, 0, 0, 330, -196, -937
"c:\JoystickGremlin-develop\gremlin\input_types.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 2, 55
"c:\JoystickGremlin-develop\gremlin\joystick_handling.py", "Python", 0, 0, 425, 0, 0, 0, 0, 0, 0, 0, 86, 128, 639
"c:\JoystickGremlin-develop\gremlin\keyboard.py", "Python", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 83, 36, 310
"c:\JoystickGremlin-develop\gremlin\ktts.py", "Python", 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 29, 96, 389
"c:\JoystickGremlin-develop\gremlin\macro.py", "Python", 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 215, 60, 528
"c:\JoystickGremlin-develop\gremlin\macro_handler.py", "Python", 0, 0, -1170, 0, 0, 0, 0, 0, 0, 0, 25, -299, -1444
"c:\JoystickGremlin-develop\gremlin\pid.py", "Python", 0, 0, 407, 0, 0, 0, 0, 0, 0, 0, 463, 145, 1015
"c:\JoystickGremlin-develop\gremlin\plugin_manager.py", "Python", 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 48, -3, 36
"c:\JoystickGremlin-develop\gremlin\process.py", "Python", 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 81, 86, 452
"c:\JoystickGremlin-develop\gremlin\process_monitor.py", "Python", 0, 0, -122, 0, 0, 0, 0, 0, 0, 0, -22, -36, -180
"c:\JoystickGremlin-develop\gremlin\profile.py", "Python", 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 286, 132, 706
"c:\JoystickGremlin-develop\gremlin\profile_graph.py", "Python", 0, 0, 1017, 0, 0, 0, 0, 0, 0, 0, 92, 321, 1430
"c:\JoystickGremlin-develop\gremlin\raw_input.py", "Python", 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 51, 71, 409
"c:\JoystickGremlin-develop\gremlin\remote.py", "Python", 0, 0, 1665, 0, 0, 0, 0, 0, 0, 0, 103, 443, 2211
